kode,nama
tanzania_republik_bersatu,"Tanzania, Republik Bersatu"
uganda,Uganda
ukraina,Ukraina
kepulauan_terpencil_kecil_amerika_serikat,Kepulauan Terpencil Kecil Amerika Serikat
uruguay,Uruguay
amerika_serikat,Amerika Serikat
uzbekistan,Uzbekistan
tahta_suci_negara_kota_vatikan,Tahta Suci (Negara Kota Vatikan)
saint_vincent_dan_grenadines,Saint Vincent dan Grenadines
venezuela_republik_bolivarian,Venezuela (Republik Bolivarian)
kepulauan_virgin_inggris,Kepulauan Virgin (Inggris)
kepulauan_virgin_amerika_serikat,Kepulauan Virgin (Amerika Serikat)
vietnam,Vietnam
vanuatu,Vanuatu
wallis_dan_futuna,Wallis dan Futuna
samoa,Samoa
yaman,Yaman
mayotte,Mayotte
afrika_selatan,Afrika Selatan
zambia,Zambia
zimbabwe,Zimbabwe
belanda_kerajaan,Belanda - Kerajaan
rumania_new_code,Rumania (New Code)
united_nations_agency,United Nations Agency
pengungsi_konvensi_pasal_1_1951,"Pengungsi (Konvensi Pasal 1, 1951)"
eswatini,Eswatini
palestine_legacy,Palestine
timor_leste_democratic_republic,Timor Leste Democratic Republic
perancis,Perancis
korea_sth_republic,"Korea (Sth), Republic"
korea_nth_democratic_peoples,Korea (Nth) - Democratic Peoples
slovak_republic,Slovak Republic
